address,name,online_order,book_table,rating,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost,type
"130, 17th H Main Road, Koramangala 5th Block, Bangalore",Kurtoskalacs,No,No,4.6,342,080 49652159,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Hazelnut Cappuccino, Pancakes, Red Velvet Cake, Nutella Shake, Murgh Ghee Roast, Butter Chicken, Chocolate Icecreams","Desserts, Fast Food",400,NA
"49/1, Ground Floor, 1st Main, 5th Block, Near Jyoti Nivas College, Koramangala 5th Block, Bangalore",The Belgian Waffle Co.,Yes,No,4.2,184,+91 8043716009,Koramangala 5th Block,Dessert Parlor,"Belgian Waffles, Chocolate Overload, Triple Chocolate, Belgian Chocolate Waffle, Chocolate Icecreams","Desserts, Beverages",350,Desserts
"104, 4th B Cross Road, Koramangala 5th Block, Bangalore",Frozen Bottle,Yes,No,4.1,244,080 48658503,Koramangala 5th Block,Beverage Shop,"Chocolate Hazelnut, Red Velvet Shake, Thick Shakes, Mango Milkshake, Brownie Chocolate, Belgian Chocolate Milkshake, Oreo Shake","Beverages, Desserts, Ice Cream",400,Desserts
"153, Ground Floor, Sheela Arcade, 7th Block, Koramangala 7th Block, Bangalore",Banchharam,No,No,3.9,144,080 25710030,Koramangala 7th Block,"Quick Bites, Sweet Shop","Mishti Doi, Rasgulla, Radhaballavi, Rasmalai, Chamcham, Dum Aloo, Malai Roll","Street Food, Mithai",200,Desserts
"Ground Floor, 489/1, KHB Colony, Koramangala 5th Block, Bangalore",Cream Stone,Yes,No,4.2,346,"080 65730006
+91 8553666666",Koramangala 5th Block,Dessert Parlor,"Chocolate Overdose, Death By Chocolate, Chocolate Icecreams, Brownie, Coffee, Hot Chocolate Fudge, Red Velvet","Desserts, Ice Cream, Beverages",500,Desserts
"Shop 123, KHB 1st Cross Road, Koramangala 5th Block, Bangalore",The Waffles Hut,Yes,No,3.8,24,080 71967791,Koramangala 5th Block,Dessert Parlor,NA,"Desserts, Beverages",400,Desserts
"Near Jyoti Nivas College,1st Main,Koramangala 5th Block, Bangalore",Lassi Shop,Yes,No,4.1,216,+91 8660096503,Koramangala 5th Block,Beverage Shop,"Faluda, Mango Lassi, Sweet Lassi, Malai Kulfi","Beverages, Ice Cream",200,Desserts
"Shop no. LG-5, Spendid Plaza, 5th A Block, 100 Feet Road, Koramangala 5th Block, Bangalore",Brownie Heaven,Yes,No,4.0,25,"080 42056352
+91 7348923721",Koramangala 5th Block,Dessert Parlor,NA,Desserts,300,Desserts
"26/7, 31st Cross, 4th T Block, Jayanagar, Bangalore",Sri Annapoorna Bajji Center,No,No,3.9,15,+91 9902669870,Jayanagar,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",100,Desserts
"1532/15, 39th E Cross, Jayanagar, Bangalore",Bunny Bakers,No,No,3.6,31,+91 9341255773,Jayanagar,Bakery,NA,"Bakery, Fast Food",250,Desserts
"Venkatdri Industrial Area, Mangammanapalya Road, Next to Bommanhalli Post Office, Bommanahalli, Bangalore",Me And My Cake,No,No,3.2,4,+91 9036070410,Bommanahalli,Takeaway,NA,"Bakery, Desserts",500,Desserts
"17th Main, Near Soubagya, Koramangala 5th Block, Bangalore",Arafa Juice Center,No,No,3.5,10,"080 25538871
080 41501884",Koramangala 5th Block,Quick Bites,NA,"Juices, Desserts, Fast Food",250,Desserts
"119, Axis Bank Building, Koramangala 7th Block Industrial Area, 80 Feet Road, Koramangala 7th Block, Bangalore",Shree Mithai,No,No,3.3,10,"080 41104959
080 25711032",Koramangala 7th Block,"Quick Bites, Sweet Shop",NA,"Desserts, Street Food, Mithai",150,Desserts
"3, 1st Floor, 1st Main, 4th T Block, NAL Layout, East End Main Road, Jayanagar, Bangalore",Meraki Patisserie,No,No,3.3,6,+91 9902355535,Jayanagar,Bakery,NA,"Bakery, Desserts",350,Desserts
"1292, 25th Main Road, 9th Block, Jayanagar, Bangalore",Mother Nature Kulfi,No,No,3.6,10,080 49712321,Jayanagar,Dessert Parlor,NA,"Desserts, Ice Cream",200,Desserts
"1481, New 23, South End, 9th Block, Jayanagar, Bangalore",Cafe Coffee Day,No,No,3.5,7,+91 9379467259,Jayanagar,Cafe,NA,"Cafe, Fast Food",900,Desserts
"2nd Floor, Transit, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Cream N Desserts,No,No,3.7,49,"080 22067688
080 22067689",Koramangala 7th Block,"Dessert Parlor, Beverage Shop",Hot Chocolate Fudge,"Desserts, Beverages",400,Desserts
"348/349, 7th Block, 80 Feet Road, Opp. HDFC Bank, Koramangala 7th Block, Bangalore",Cake Yard,No,No,2.9,30,080 22977722,Koramangala 7th Block,Dessert Parlor,NA,Desserts,250,Desserts
"44, BDA Complex, Koramangala 3rd Block, Bangalore",Sangam Sweets,Yes,No,3.8,75,080 25529589,Koramangala 3rd Block,Sweet Shop,"Chaat, Jalebi, Samosa, Badam Milk, Panipuri","Mithai, Street Food",200,Desserts
"3, 100 Feet Road, 16th Main Road, 1st Stage, BTM Layout",A2B - Adyar Ananda Bhavan,Yes,No,3.8,685,18001036363,BTM,Casual Dining,"Tea, Coffee, Rasmalai, Raj Kachori, Masala Dosa, Vegetable Biryani, Vada Sambar","South Indian, North Indian, Chinese, Street Food, Fast Food",400,Dine-out
"9/10, Chikka Lakshmiah Layout, Near Forum Mall, BTM, Bangalore",Brother?s Bar & Kitchen,No,No,3.4,5,+91 9945793981,BTM,Casual Dining,NA,"Chinese, North Indian",1000,Dine-out
"28, 5th Cross Rd, Maruti Nagar, 1st Stage, BTM, Bangalore",Crown Resto,No,No,0.0,0,+91 8848944112,BTM,Casual Dining,NA,"Kerala, Chinese, Fast Food",600,Dine-out
"57, 8th A Main, 1st Stage, BTM, Bangalore",Zam Zam Darbar,No,No,2.9,84,"+91 8971956047
080 26686262",BTM,Casual Dining,"Shawarma, Biryani Combo, Chicken Grill","North Indian, Biryani, Chinese",500,Dine-out
"321/34, Sheriff Complex, Opposite Total Mall, Madiwala, BTM, Bangalore",Mayur,No,No,3.6,18,"080 25524914
080 25973197",BTM,Casual Dining,NA,"Andhra, North Indian, Chinese",500,Dine-out
"107, 3rd Cross Road, Bharathi Layout, Balaji Nagar, Suddagunte Palya, BTM, Bangalore",S.S Bangali Restaurant,No,No,0.0,0,+91 8553137892,BTM,Quick Bites,NA,"South Indian, North Indian",300,Dine-out
"86,9th Cross,Tavarekere, 1st Phase, BTM, Bangalore",Golden Grill Restaurant,No,No,3.5,18,"080 26841414
080 26845414",BTM,Casual Dining,NA,"Arabian, Chinese, North Indian, Kerala, Seafood",550,Dine-out
"Davanam Sarovar Portico, 3rd Floor, Total Mall, BTM, Bangalore",Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,080 40003333,BTM,Bar,NA,Finger Food,1200,Dine-out
"Total Mall, Opposite Police Station, Madivala, Hosur Road",Cafe Coffee Day,No,No,3.3,15,080 65690462,BTM,Cafe,NA,"Cafe, Fast Food",900,Dine-out
"84, St.Antony Fairy Church",Seekers Cafe,No,No,3.6,25,"+91 9986961417
+91 9845016740",BTM,Casual Dining,NA,"Italian, Continental",500,Dine-out
"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",100C,No,No,3.7,41,+91 9535433735,BTM,Casual Dining,Chicken Biryani,"Biryani, North Indian",450,Dine-out
"102, 8th Main, Vyshya Bank Colony, Maruthi Layout, BTM Layout, Bangalore, BTM, Bangalore",Ma-Arya Family Restaurant,No,No,3.1,8,+91 7829411999,BTM,Casual Dining,NA,"Biryani, South Indian, North Indian, Chinese, Andhra",600,Dine-out
"33, 20th A Main, 13th Cross, Venkateshwara Layout, 1st Stage, BTM, Bangalore",Sri Durga Cane Fresh,No,No,3.4,5,+91 9611103865,BTM,Beverage Shop,NA,"Juices, Beverages, Fast Food",100,Dine-out
"212, Aicobo Nagar, 1st Stage, BTM Layout, BTM, Bangalore",Venessa,No,No,0.0,0,+91 8049750002,BTM,Casual Dining,NA,"North Indian, South Indian, Asian, Continental",1200,Dine-out
"Kolliyil, Kolliylhouse, Madiwala, Margi Nagar Street, Near El Silver, BTM, Bangalore",BTM,No,No,0.0,0,+91 7022175180,BTM,Casual Dining,NA,"North Indian, South Indian",400,Dine-out
"31,32, Bhuvanappa Layout, 2nd Cross, Opposite Forum Mall, Tavarakere Main Road",Benzys,No,No,3.2,6,+91 9916144440,BTM,Casual Dining,NA,"Arabian, Chinese, Hyderabadi, Kerala",700,Dine-out
"44/45, Hosur Road, Adugodi, BTM, Bangalore",Shiva's Bar And Restaurant,No,No,0.0,0,+91 9900260413,BTM,"Bar, Casual Dining",NA,"South Indian, North Indian, Fast Food",800,Dine-out
"65, 60 Feet Rd, Keb Layout, Narayan Gowda Layout, 1st Stage, BTM Layout",Nanna Munna,No,No,3.4,8,+91 9206241013,BTM,Quick Bites,NA,"North Indian, Chinese",200,Dine-out
"12, Near Christ College, Krishna Nagar, Industrial Layout, Hosur Road, BTM, Bangalore",Bamboo Heights,No,No,3.7,112,"+91 9986094422
+91 8105436214",BTM,Casual Dining,Friendly Staff,"Chinese, Fast Food, Continental",500,Dine-out
"248, Krishna Vaibhav Building, 6th Main, 2nd Stage, BTM, Bangalore",Chai Point,Yes,No,4.0,113,+91 8880141000,BTM,"Beverage Shop, Quick Bites","Chai, Masala Tea, Samosa, Banana Cake, Egg Puff, Ginger Tea","Tea, Beverages, Fast Food",250,Dine-out
"931, Bhavani Sadana, 4th Main Road, 1st Sector, 4th Stage, BTM, Bangalore",Pizza Hut,Yes,No,3.3,19,080 43709562,BTM,Casual Dining,NA,"Pizza, Fast Food",750,Dine-out
"69, 7th Main Road, 2nd Stage, BTM, Bangalore",Namaste,No,No,0.0,0,+91 7795680954,BTM,Quick Bites,NA,South Indian,70,Dine-out
"6/21, 10th Cross, 1st Main, Venkateshwara Layout, SG Palya",Kannur Food Point,No,No,4.0,137,+91 9886165106,BTM,Quick Bites,"Roast Chicken, Thalassery Biryani","Kerala, North Indian",200,Dine-out
"9, Outer Ring Road, Kuvempu Nagar, Stage 2, BTM Layout, Bengaluru",Ambur Star Briyani,Yes,No,3.5,383,"080 26689973
+91 8553017373",BTM,Quick Bites,"Ambur Biryani, Mutton Biryani, Prawn, Raita, Brinjal Curry, Vegetable Biryani, Fish","Biryani, Kebab",400,Dine-out
"2B Block, Total Mall, Hosur Road, Madiwala",KFC,Yes,No,3.9,348,080 33994444,BTM,Quick Bites,"Burgers, Chicken Bucket, Paneer Zinger Burger","Burger, Fast Food",400,Dine-out
"800, Near ICICI Bank, 7th Cross, 15th Main, 2nd Stage, BTM, Bangalore",Domino's Pizza,Yes,No,4.1,521,"080 26687733
18602100000",BTM,Quick Bites,Cheese Burst Pizza,"Pizza, Fast Food",400,Dine-out
"5, Aradhana Complex, Chocolate Factory Road, 1st Stage, BTM, Bangalore",New Limra Hotel,No,No,3.4,5,+91 9900597569,BTM,Quick Bites,NA,"South Indian, Biryani, Fast Food",200,Dine-out
"Number 15-30, First Cross, BTM First Stage, Bangalore",Bangalore Star Biriyani,No,No,3.4,7,+91 9620871987,BTM,Quick Bites,NA,"Biryani, Chinese, North Indian",300,Dine-out
"103, 1st Main, Maruthinagar, Madiwala, BTM, Bangalore",Kabab Magic,Yes,No,3.9,879,080 25633202,BTM,Quick Bites,"Chicken Grill, Biryani, Shawarma Roll, Rolls, Arabian Pulpy Grape Juice","North Indian, Kebab, Fast Food",500,Dine-out
"Shop 943, 16th Main Road, Mico Layout, 2nd Stage, BTM, Bangalore",Just Shawarma,Yes,No,3.9,201,+91 7676764422,BTM,Quick Bites,Whole Meat Shawarma,Arabian,300,Dine-out
"1224, 17th Main, 8th Cross, BTM 1st Stage",Chaatimes,Yes,No,3.4,46,+91 8884252255,BTM,Quick Bites,"Chaat, Dabeli, Panipuri","Street Food, Fast Food",200,Dine-out
"1, Mico Layout, 7th Main Road, Pushpa Layout, 2nd Stage, BTM, Bangalore",Zeeshan,Yes,No,2.8,178,080 40966647,BTM,Quick Bites,"Biryani, Rolls, Tandoori Chicken, Chicken Egg Roll, Laccha Paratha","North Indian, Mughlai, Biryani, Rolls",700,Dine-out
"15, 16th Main Road, Keb Layout, Narayan Gowda Layout, Stage 2, BTM, Bangalore",Hotel Udipi Krishna,No,No,0.0,0,+91 9742044034,BTM,Quick Bites,NA,South Indian,100,Dine-out
"12th Cross, 7th Main, BTM 2nd Stage, Bangalore, BTM, Bangalore",Biryani Dawat,No,No,0.0,0,+91 9502467060,BTM,Quick Bites,NA,"Biryani, Hyderabadi",400,Dine-out
"6/4, Hongasandra Bus Stop, Begur Main Road, BTM, Bangalore",New Kabab Zone,No,No,3.5,39,"+91 9880302786
+91 9880309786",BTM,Quick Bites,NA,"North Indian, Fast Food",500,Dine-out
"Total Mall (Jumbo Mall) Madivala Commercial Plaza, Hosur Road - Sarjapur Junction",McDonald's,Yes,No,3.6,59,080 66000666,BTM,Quick Bites,"Burgers, French Fries","Burger, Fast Food",500,Dine-out
"90, 1st Main Road, Vysya Bank Colony, Mico Layout, BTM, Bangalore",Udupi Gokul Cafe,No,No,3.8,58,+91 9886885678,BTM,Quick Bites,"Filter Coffee, Pongal",South Indian,300,Dine-out
"Opposite Life Care Hospital, 20th Main, 7th, Cross, BTM, Bangalore",Namma Kadai,No,No,3.4,4,+91 7829057095,BTM,Quick Bites,NA,South Indian,150,Dine-out
"931, 2nd Stage, 4th Cross Road, BTM",Nellore Dosa Camp,No,No,3.3,5,+91 9739724373,BTM,Quick Bites,NA,"Andhra, South Indian",70,Dine-out
"20th, Maruthi Nagar Main Road, 1st Stage",Sri Saravana Bhavan,No,No,3.7,35,+91 9738001080,BTM,Quick Bites,NA,South Indian,200,Dine-out
"317/373, 1st Stage, Gangothri Circle, Maruthi Nagar",Gangothri Kabab Corner,No,No,3.1,18,+91 9008075469,BTM,Quick Bites,NA,North Indian,400,Dine-out
"1st Main Road, Zuzuvadi, Madiwala, 1st Stage, BTM, Bangalore",Thalassery Cafe,No,No,3.4,7,NA,BTM,Quick Bites,NA,Street Food,150,Dine-out
"5, 1st Main Road, Buvannapa Layout, Kaveri Layout, Suddagunte Palya, Bengaluru",Cafe 58,No,No,3.4,4,+91 9846467567,BTM,Quick Bites,NA,"Fast Food, Biryani",200,Dine-out
"5, Opposite Sandhya Talkies, Old Madiwala Road, BTM, Bangalore",Five Star Chicken,Yes,No,3.5,24,080 49652750,BTM,Quick Bites,NA,Fast Food,350,Dine-out
"82, Tavarekere Main Road",Mangalore Lunch Home,Yes,No,3.6,42,+91 9900603369,BTM,Quick Bites,NA,"North Indian, South Indian, Mangalorean",250,Dine-out
"75/4, Maruthi Nagar Main Road, 1st Stage",Meat And Eat,Yes,No,3.1,15,"+91 9686612009
+91 8050012021",BTM,Quick Bites,NA,"Fast Food, Burger",500,Dine-out
"13, Near Christ College, Hosur Road",Sri Vishnupriya,No,No,3.0,67,+91 9743747785,BTM,Quick Bites,"Masala Dosa, Plain Dosa","South Indian, North Indian, Chinese",300,Dine-out
"13, Ground Floor, 4th Main, S.G.Palaya, Tavarekere Main Road, BTM, Bangalore",Aarya Pork Hotel,No,No,3.3,11,+91 8197695523,BTM,Quick Bites,NA,"South Indian, Biryani, Chinese",300,Dine-out
"1-2, Brindavan Nagar, Opposite M.N.P Residency, Tavarekere, Ramappa Layout, 1st Stage, BTM, Bangalore",Salkara Malabar Kitchen,No,No,0.0,0,+91 7975022318,BTM,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
"37, 1st Main, 1st Cross Road, Near Lakshmi Theatre, Narayanappa Garden, Tavarekere, BTM, Bengalore",Chorum Curryum,No,No,0.0,0,"+91 6361599538
+91 7829753007",BTM,Quick Bites,NA,"Chinese, Kerala, South Indian",250,Dine-out
"14, Krishnanagara Industrial Area, Next to Christ College, BTM, Bangalore",Pout,No,No,4.0,40,"+91 7090599999
+91 7090377777",BTM,Beverage Shop,"Shawarma, Chicken Grill",Beverages,400,Dine-out
"489, 29th Main, 9th Cross, 2nd Stage, BTM, Bangalore",Hotel Meed Cafe,No,No,3.2,5,080 26780667,BTM,Quick Bites,NA,"North Indian, South Indian",250,Dine-out
"104/1, Near Laxmi Theatre, Gopal Reddy Building, Tavarekere Main Road",Karavali Lunch Home,No,No,3.3,4,+91 9900127837,BTM,Quick Bites,NA,Kerala,200,Dine-out
"100, 8th Cross Road, 1st Stage, BTM, Bangalore",Sri Udupi Sagar,No,No,3.5,12,080 28913122,BTM,Quick Bites,NA,South Indian,200,Dine-out
"128/3, NS Palya, Behind Shoppers' Stop, BTM Layout, Bangalore, BTM, Bangalore",Hot Burg,No,No,3.5,14,"+91 9338321644
+91 9738345796",BTM,Quick Bites,NA,"Fast Food, Juices",300,Dine-out
"14, 10th Cross, Christ School Road, SG Palya, DRC Post",Ande Ka Funda,No,No,2.8,60,+91 9902666308,BTM,Quick Bites,"Aloo Paratha, Ande Ka Funda","North Indian, Fast Food, Rolls",250,Dine-out
"9th A Main Road, Behind HDFC Bank,1st Stage, BTM, Bangalore",Desi Adda,No,No,3.3,22,"+91 8792806346
+91 8095558752",BTM,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
"402, 3rd Cross, 23rd Main, 2nd Stage, BTM, Bangalore",Basawa Hotel,No,No,3.4,8,"+91 9742804314
+91 9738822253",BTM,Quick Bites,NA,South Indian,250,Dine-out
"16, VP Road, Near Sandhya Theatre, Old Madiwala, BTM, Bangalore",Friend's Kitchen,No,No,3.5,10,+91 7200313037,BTM,Quick Bites,NA,"South Indian, Chinese",150,Dine-out
"Near Forum Mall Signal, Tavarekere Main Road, BTM, Bangalore",South Side,No,No,3.3,6,+91 9742792887,BTM,Quick Bites,NA,"South Indian, Beverages",250,Dine-out
"28th, 8th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore, Bengaluru",Barkat,No,No,3.4,5,+91 9019670836,BTM,Quick Bites,NA,Kerala,250,Dine-out
"15, 16th Main Road, Keb Layout, Narayan Gowda Layout, 2nd Stage, BTM, Bangalore",Shawarma Bite,No,No,0.0,0,+91 9538833223,BTM,Quick Bites,NA,Arabian,200,Dine-out
"62, 8th Main, 1st Stage, BTM, Bangalore",C K Bake & Juice,No,No,3.1,10,+91 8590429429,BTM,"Quick Bites, Beverage Shop",NA,"Juices, Street Food",150,Dine-out
"63, Opposite St John?s Wood Apartment & Oracle Prestige Lexington, Cauvery Layout, Tavarekere, BTM, Bangalore",The Grand Kitchen Restaurant,No,No,0.0,0,"+91 7795489572
+91 9916475867",BTM,Quick Bites,NA,"North Indian, Chinese",400,Dine-out
"Thavrekera Main Road, Near Health India Hospital, RMV Shelder, BTM, Bangalore",Hotel Mirchi Red,No,No,3.0,32,+91 9566154277,BTM,Quick Bites,NA,"North Indian, Chinese",400,Dine-out
"2nd Stage, 10th Cross, 16th Main, Opposite Mico Layout Police Station, BTM, Bangalore",New Shetty Lunch Bhavan,No,No,0.0,0,+91 9164526587,BTM,Quick Bites,NA,"South Indian, Mangalorean",300,Dine-out
"68, 7th Main Road, N S Palya, Stage 2, BTM Layout, Bangalore",SGS Non Veg - Gundu Pulav,Yes,No,3.6,41,+91 7338355544,BTM,Quick Bites,NA,"Biryani, Fast Food",400,Dine-out
"6, Z1 Construction Building, 5th Floor, Next To Sapna Book House, 20th Main Road, Koramangala 7th Block, Bangalore",Bombay Adda,No,Yes,4.5,2225,080 49653211,Koramangala 7th Block,"Casual Dining, Bar","Nachos, Cocktails, Chicken Tikka, Nasi Goreng, Pav Bhaji Fondue, Tiramisu, Samosa",Modern Indian,1100,NA
"4th B Cross, Koramangala 5th Block, Bangalore",Biergarten,No,Yes,0.0,0,080 49653208,Koramangala 5th Block,"Pub, Microbrewery","Beer, Mezze Platter, Penne Arrabiata Pasta, Cocktails, Bruschettas, Peri Peri Chicken, Pizza","Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",2100,NA
"17th Main Road, JNC Road, Koramangala 5th Block, Bangalore",The Reservoire,No,Yes,4.5,2540,080 45128647,Koramangala 5th Block,"Bar, Casual Dining","Cocktails, Bruschettas, Peppy Paneer Pizza, Caramel Custard, Beer, Peri Peri Wings, Wood Fire Pizza","Continental, North Indian, Chinese, American, Pizza, Finger Food",1300,NA
"5th Floor, 6th Block, Elite Building, Industrial Layout, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Indigo XP,No,No,4.3,2349,+91 9632357766,Koramangala 5th Block,Pub,"Pasta, Biryani, Cocktails, Mocktails, Pizza, Nachos, Blueberry Cheesecake","Finger Food, Continental, Asian, North Indian",1400,NA
"115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",Fenny's Lounge And Kitchen,No,Yes,4.5,6348,080 49653085,Koramangala 7th Block,"Bar, Casual Dining","Caramel Pudding, Cocktails, Pizza, Mocktails, Bbq Chicken, Veg Starter, Sea Food","Mediterranean, Pizza, Continental, Seafood, Salad",1600,NA
"66, Ground Floor, JNC Road, Koramangala 5th Block, Bangalore",Sharief Bhai,No,Yes,4.3,1520,+91 8095752222,Koramangala 5th Block,Casual Dining,"Mutton Biryani, Nalli Nihari, Patthar Ka Gosht, Phirni, Fry Prawns, Lamb Chops, Paya Soup","Mughlai, Biryani",700,NA
"Shop 44, 4th B Cross Road, Koramangala 5th Block, Bangalore",ECHOES Koramangala,No,No,4.7,3197,080 49652674,Koramangala 5th Block,"Cafe, Casual Dining","Pasta, Momos, Mezze Platter, Pizza, Waffles, Chocolate Milkshake, Peri Chicken","Chinese, American, Continental, Italian, North Indian",750,NA
"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",Chianti,No,Yes,4.7,4845,"080 41132021
080 41132024",Koramangala 5th Block,Casual Dining,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas",Italian,1500,NA
"104, 3rd Floor, 1st Main, 5th Block, Jatti Building, Koramangala 5th Block, Bangalore",Drava,No,Yes,4.4,110,080 49653135,Koramangala 5th Block,Lounge,"Cocktails, Veg Burger, Pizza, Beer, Burgers, Spaghetti Aglio Olio, Sweet Lime Juice","Pizza, Continental, North Indian, Asian",1500,Dine-out
"413, 100 Feet Road, Next E-Zone, Koramangala 4th Block, Bangalore",The Terrace at Gilly's Redefined,No,Yes,4.6,866,080 45128809,Koramangala 4th Block,"Microbrewery, Casual Dining","Cocktails, Beer, Mocktails, Biryani, Long Island Iced Tea, Drunken Prawn, Sunday Brunch","Continental, Finger Food, Asian, North Indian",1400,Dine-out
"2nd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",The Boozy Griffin,No,Yes,4.6,4947,080 33512954,Koramangala 5th Block,"Casual Dining, Pub","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges","European, Continental",1800,NA
"105, 3rd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Simon Says Brew Works,No,Yes,4.5,1932,080 49653390,Koramangala 5th Block,"Microbrewery, Casual Dining","Beer, Onion Pakoda, Long Island Iced Tea, Peri Peri Chicken, Cocktails, Veg Platter, Stout","Continental, American, Italian, Modern Indian, Pizza, Burger",1400,NA
"413, 100 Feet Road, Koramangala 4th Block, Bangalore",Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,080 49653043,Koramangala 4th Block,"Microbrewery, Bar","Mai Thai, Sangria, Cocktails, Pizza, Biryani, Beer, Chicken Nachos","American, North Indian, Pizza, Finger Food, Continental, Italian",1200,NA
"#20, 1st Floor, 1st Cross, 5th A Block, JNC road, Koramangala 5th Block, Bangalore",Kobe Sizzlers,No,Yes,4.1,1786,"080 49589249
+91 9901299432",Koramangala 5th Block,Casual Dining,"Sandwiches, Salads, Lamb, Ice Tea, Chicken Salad, Steak, Chicken Shashlik","American, Continental, Fast Food, Steak",1000,Dine-out
"53/1, 2, 4th Floor, SV Arcade, Bilekahalli, Bannerghatta Road, Bangalore",Public - The Rooftop Bar And Kitchen,No,Yes,4.3,956,080 48517766,Bannerghatta Road,"Casual Dining, Bar","Cocktails, Butter Chicken, Beer, Biryani, Tandoori Chicken, Nachos, Roti","North Indian, South Indian, Andhra, Chinese",1000,Dine-out
"Opposite Jayadeva Hospital, 9th Block, Off Bannerghatta Road, Jayanagar, Bangalore",Al-Bek,Yes,No,3.9,682,+91 9606030006,Jayanagar,Casual Dining,"Biryani, Chicken Shawarama, Chicken Grill, Pepper Chicken, Chicken Shwarma Roll, Chicken Tikka, Punjabi Chicken","North Indian, Mughlai, Chinese, Seafood",650,Dine-out
"1313, Near Bangalore Central Mall, 25th Main, 9th Block, Jayanagar, Bangalore",Shanmukha,Yes,No,4.4,1944,080 45128667,Jayanagar,Casual Dining,"Egg Biryani, Egg Chilli, Mutton Biryani, Hyderabadi Biryani, Naan, Raita, Butter Chicken","Biryani, Andhra, North Indian, Chinese",800,Dine-out
"1, Raheja Arcade, Koramangala 7th Block, Bangalore",Bob's Bar,No,No,0.0,0,"+91 7829709340
+91 8073135768",Koramangala 7th Block,"Bar, Casual Dining","Murgh Ghee Roast, Beer","South Indian, Finger Food",1000,Dine-out
"25, 1st Floor, 5th Cross, Koramangala 5th Block, Bangalore",Chinita Real Mexican Food,No,No,4.5,729,"+91 9591038009
080 43711400",Koramangala 5th Block,Casual Dining,"Churros, Tacos, Nachos, Salad, Burrito Bowl, Enchiladas, Hot Chocolate",Mexican,1200,NA
"1304, Ground Floor, 9th Cross, 20th Main, JP Nagar, Bangalore",Baba Chatkora,No,No,0.0,0,+91 9880894199,JP Nagar,Casual Dining,"Dal Makhani, Thali, Matka Lassi",North Indian,1000,Dine-out
"104, 5th Floor, Industrial Area, Koramangala 5th Block, Bangalore",Karama Restaurant,Yes,No,4.1,1555,080 40222700,Koramangala 5th Block,Casual Dining,"Mutton Mandi, Laccha Paratha, Chicken Curry, Tawa Chicken, Rabri, Raan, Biryani","Arabian, North Indian, Beverages",750,Dine-out
"147/D, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",Sathya's,No,Yes,4.1,759,080 41317571,Koramangala 3rd Block,Bar,"Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad","North Indian, Chinese",1200,Dine-out
"115, First Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",Rajdhani Thali Restaurant,Yes,Yes,4.0,792,"+91 9886099229
080 41647444",Koramangala 7th Block,Casual Dining,"Rabri, Gatte Ki Subzi, Dhokla, Jalebi, Rajasthani Thali, Aamras, Daal Baati Churma",North Indian,900,Dine-out
"129, 5th Block, KHB Colony, Koramangala 5th Block, Bangalore",Chung Wah,Yes,No,4.0,313,"080 41607888
080 41607999",Koramangala 5th Block,Casual Dining,"Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Chicken Satay","Chinese, Thai, Momos, Vietnamese",800,Dine-out
"88, KK Centre, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Mani's Dum Biryani,Yes,No,3.9,778,"080 43006111
+91 9606441691",Koramangala 5th Block,Casual Dining,"Kebab Biryani, Raita, Chicken Biryani, Vegetable Biryani, Basmati Rice, Hyderabadi Biryani, Dum Biryani","Biryani, Kebab",750,Dine-out
"99, Ground Floor, 4th B Cross, 1st Main Road, Koramangala 5th Block, Bangalore",Tilt Gastro Lounge,No,Yes,4.1,1235,"00 9148935778
+91 9886503432",Koramangala 5th Block,"Lounge, Casual Dining","Cocktails, Burgers, Pasta, Exotic Pizza, Long Island Iced Tea, Honey Chilli Potatoes, Nachos","Continental, American, North Indian, Chinese",1500,Dine-out
