,address,name,online_order,book_table,rating,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost,type
18699,"177/178, Amarjyoti Layout, Domlur, Bangalore",The Paramount Hotel,Yes,No,2.9/5,319,"+91 9743520000
+91 9743530000",Domlur,Casual Dining,"Egg Paratha, Tangdi Kabab, Butter Chicken, Ghee Rice, Faluda, Shawarma, Chicken Kebab","North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages","1,000",Buffet
18700,"Ginger Hotel, Amarjyothi Layout, Inner Ring Road, Domlur, Bangalore",Avanti Indian Barbeque & Grill,No,No,3.4/5,46,"+91 9845285084
080 66666333",Domlur,Casual Dining,Garlic Naan,North Indian,"1,100",Buffet
18701,"The Leela Palace, 23, Old Airport Road, Bangalore",Citrus - The Leela Palace,No,Yes,4.2/5,589,080 25211234,Old Airport Road,Fine Dining,"Salad, Steak, Rasgulla, Pizza, Salads, Waffles, Sunday Brunch","North Indian, Italian, Asian, Continental, Mediterranean","3,500",Buffet
18706,"Royal Orchid Hotel, 1, Golf Arcade, HAL, Old Airport Road, Bangalore",Limelight - Royal Orchid Hotel,No,Yes,4.0/5,420,"+91 9902954007
+91 9902000118",Old Airport Road,Fine Dining,"Sea Food, Pizza, Coffee, Biryani, Chaat, Fish, Pasta","Continental, North Indian","2,200",Buffet
18708,"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",20 Char - Sterlings MAC Hotel,Yes,Yes,4.0/5,419,"+91 7406560596
+91 7353757582",Old Airport Road,"Casual Dining, Bar","Rasmalai, Pizza, Fish, Mutton Curry, Salads, Virgin Mojito, Noodles","Chinese, Continental, North Indian, South Indian, Arabian","1,400",Buffet
18709,"Sterlings mac Hotel, 134, Next to Manipal Hospital, HAL, Old Airport Road, Bangalore",Shebestan - Sterlings MAC Hotel,No,Yes,4.2/5,405,"+91 7353757585
+91 7353757535",Old Airport Road,Casual Dining,"Salads, Tabbouleh, Mutton Curry, Falafel, Pasta, Kheer, Lunch Buffet",Arabian,"1,500",Buffet
18711,"The Senate, G-Block, Diamond District Kodihalli, Old Airport Road, Bangalore",Java,No,No,3.7/5,39,"+91 9343090712
080 41670733",Old Airport Road,Casual Dining,NA,"North Indian, Chinese",700,Buffet
18712,"788, JK Plaza, 12th Main, 2nd Stage, Indiranagar, Bangalore",House Of Seitan,Yes,No,NEW,0,080 49653009,Indiranagar,Cafe,NA,"Cafe, Healthy Food, Salad, Beverages",700,Cafes
18713,"621/B, G-05 Ground Floor, 12th Main, Hal Second Stage, Indiranagar, Bangalore",Cup Chronicles Cafe,Yes,Yes,3.9/5,48,080 49653511,Indiranagar,Cafe,NA,"Cafe, Continental, Tea, Beverages, Desserts",450,Cafes
18714,"36, 80 Feet Road, Indiranagar, Bangalore",Lazy Suzy,Yes,Yes,4.3/5,1235,080 49652565,Indiranagar,"Cafe, Bakery","Hot Chocolate, Pizza, Sandwiches, Pancakes, Mushroom Pasta, Pasta Salad, Sandwich","Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European","1,000",NA
18716,"1st Stage, 100 feet Road, Indiranagar, Bangalore",Truffles,No,No,4.6/5,1308,080 49652148,Indiranagar,"Cafe, Casual Dining","Burgers, Pasta, Crunchy Veg Burger, American Cheese Burger, Peri Peri Chicken Burger, Mojito, Chicken Paprika","Cafe, American, Burger, Steak",900,NA
18718,"#263, Domlur 2nd Stage, Indiranagar, Bangalore",Lavonne,No,No,4.4/5,1095,+91 9740954505,Indiranagar,"Cafe, Dessert Parlor","Coffee, Burgers, Croissants, Pasta, Cheesecake, Sandwich, Spaghetti","Cafe, Desserts",800,Cafes
18723,"1131, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Smoor,Yes,No,4.6/5,1687,"080 25211901
+91 8861460270",Indiranagar,"Dessert Parlor, Cafe","Hot Chocolate, Chocolate Pastry, Cheesecake, Chocolate Sundae, Coffee, Chips, Macaroon","Desserts, Cafe, Beverages",900,Cafes
18724,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",Onesta,Yes,Yes,4.3/5,4644,"080 43712857
+91 9071749304",Indiranagar,"Casual Dining, Cafe","Bbq Pizza, Choux Pastry, Bbq Chicken, Tiramisu, Barbeque Chicken, Chicken Calzone, Pasta","Pizza, Cafe, Italian",600,Cafes
18729,"9B, Binnamangala, Manavarthekaval, Michealpalya, 80 Feet Road, Indiranagar, Bangalore",Monet's Bistro,No,No,4.5/5,197,"+91 8043727414
+91 9916549495",Indiranagar,Cafe,"Burgers, Macaroon, Coffee, Eclair, Sandwich, Fries, Hot Chocolate","Cafe, Beverages",600,Cafes
18730,"872/A, Ground Floor, 80 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Brik Oven,No,No,NEW,0,080 42042111,Indiranagar,Cafe,"Garlic Bread, Big Bang Shake, Smokey Marzano Pizza","Cafe, Pizza, Beverages","1,100",Cafes
18731,"2019, 100 Feet Road, Indiranagar, Bangalore",Chai Days,Yes,No,4.4/5,105,080 49652841,Indiranagar,Cafe,"Ginger Tea, Samosa, Masala Chai, Saffron Chai, Banana Walnut Cake","Cafe, Tea, Beverages, Fast Food",200,Cafes
18733,"50, Zatakia Centre, 100 Feet Road, Indiranagar, Bangalore",Stoner,Yes,No,4.5/5,2687,"080 41312123
+91 9849012123",Indiranagar,"Dessert Parlor, Cafe","Tiramisu Ice Cream, Chocolate Overload, Paneer Tikka Pizza, Hot Chocolate, Chicken Chilli Pizza, Mango Tango, Chocolate Lava","Ice Cream, Cafe, Beverages, Burger, Desserts, Pizza",550,Cafes
18736,"729, Ground Floor, CMH Road, Binnamangala Layout Extension, Indiranagar, Bangalore",Third Wave Coffee Roasters,No,No,4.2/5,311,"+91 7337686222
+91 9903006952",Indiranagar,Cafe,"Wedges, Chicken Sandwich, Sandwiches, Cappuccino, Gourmet Coffee, Cheesecake, Fries","Cafe, Continental, Desserts",800,Cafes
18738,"2286/B, 1st Cross, 14th A Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",The Ants Cafe & Store,Yes,Yes,3.9/5,1380,"+91 7204701157
080 41715639",Indiranagar,Cafe,"English Breakfast, Coffee, Watermelon Feta Salad, Waffles, Salads, Pasta, Hazelnut Cappuccino","Cafe, Italian",900,Cafes
18739,"26, ESI Hospital Road, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3/5,766,"+91 9740195375
080 41514100",Indiranagar,"Casual Dining, Cafe","Coffee, Momos, Sandwich, Tiramisu, Nachos, Kiwi Ice Tea, Masala Tea","Continental, Cafe, Desserts, Salad, Momos","1,000",Cafes
18740,"621/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Waffle Magic,No,No,4.2/5,583,080 45128813,Indiranagar,Cafe,"Wedges, Chicken Waffles, Sandwiches, Blueberry Waffles, Blueberry Pancakes, Fruit Pancake, Belgian Waffles","Cafe, Desserts",700,Cafes
18743,"508, Melmat Building, Near Fabindia, CMH Road, Defence Colony, Indiranagar, Bangalore",Matteo Coffea,No,No,4.2/5,858,080 25211612,Indiranagar,Cafe,"Coffee, Salad, Club Sandwiches, Pasta, Sandwich, Burgers, Cappuccino",Cafe,600,Cafes
18744,"421-G, 1st Main, 3rd Cross, 1st Stage, Off 100 Feet Road, Indiranagar, Bangalore",Spoonful Of Sugar,No,No,4.0/5,861,"080 25255534
080 25255535",Indiranagar,"Dessert Parlor, Cafe","Chicken Lasagne, Bannoffee Pie, Cup Cake, Salad, Salads, Nutella Cheesecake, Tiramisu","Desserts, Bakery, Cafe",800,Cafes
18747,"2985, 1st Floor,12th Main, HAL 2nd stage, Indiranagar, Bangalore",Smally's Resto Cafe,Yes,No,4.0/5,399,"080 48149349
+91 9632015858",Indiranagar,Cafe,"Burgers, Peri Peri Chicken Steak, Pasta, Pizza, Meat Balls, Hot Chocolate, Beef Burger","Cafe, Italian, Burger, American, Steak",650,NA
18749,"172, 2nd Cross Road, Off Indiranagar Double Road, Indiranagar",Tea Brew,Yes,No,4.1/5,1141,"080 41715878
+91 9538612243",Indiranagar,"Cafe, Casual Dining","Momos, Wedges, Chai, Veg Club Sandwich, Masala Tea, Pasta, Waffles","Cafe, Continental, Momos, Italian, North Indian",500,Cafes
18750,"2013, Ground Floor, 100 Feet Road, Indiranagar, Bangalore",Starbucks,No,No,4.2/5,583,+91 8884678529,Indiranagar,Cafe,"Coffee, Hot Chocolate, Chocolate Muffin, Cappuccino, Sandwiches, Latte, Croissants","Cafe, Desserts",700,Cafes
18752,"442, 9th Avenue Building, 9th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Django,Yes,Yes,4.0/5,209,"+91 7618789640
+91 7618789641",Indiranagar,Cafe,"Burgers, Pizza, Coffee, Peri Peri Chicken Wings, Beef Burger, Mango Salad, Chicken Burger","Cafe, Italian, Pizza, Burger, Beverages",800,Cafes
18753,"2985, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Tata Cha,Yes,No,3.9/5,660,18001208242,Indiranagar,Cafe,"Poha, Masala Tea, Hot Chocolate, Gulkand Chai, Kadak Chai, Iced Peach Tea, Bun Maskas","Cafe, Tea, North Indian",500,NA
18756,"G 2, 28/A, Smart Avenue, 80 Feet road, Indiranagar, Bangalore",Yomama!!,Yes,Yes,4.0/5,339,+91 8040934831,Indiranagar,Quick Bites,"Burgers, Steak, Pancakes, Beef Burger, Oreo Thick Shakes, Chicken Juicy Burger, Pasta","Continental, Burger, Cafe, Steak",800,Cafes
18757,"295 & 296, First Floor, 100 Feet Road, Indiranagar, Bangalore",The Mad Teapot,No,Yes,4.1/5,287,080 40931683,Indiranagar,Cafe,"Tea, Pasta, Sandwiches, Hot Chocolate, Sandwich, Pizza, Spaghetti",Cafe,850,Cafes
18758,"172/A, 1st Main, 2nd Cross, Indiranagar, Bangalore",Grubhouse,Yes,No,4.1/5,332,080 40999721,Indiranagar,"Casual Dining, Cafe","Burgers, Pasta, Caramel Custard, Crispy Corn, Mutton Curry, Lemonade, Fries","Continental, Cafe, Steak",800,Cafes
18759,"2906/2907, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Lahe Lahe Santhe,No,No,3.7/5,17,+91 9886294444,Indiranagar,Cafe,NA,"Cafe, Beverages",300,Cafes
18760,"314, 6th Main, Defence Colony, 2nd stage, Indiranagar, Bangalore",Eddy's Cafe,Yes,No,4.1/5,137,+91 6361292968,Indiranagar,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread","Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",750,Cafes
18761,"776, Near ING Vysa Bank, 100 Feet Road, Indiranagar, Bangalore",Lakeview Milkbar,No,No,2.9/5,539,"080 25200443
+91 9945785031",Indiranagar,"Dessert Parlor, Cafe","Sandwiches, Brownie, Chicken Sandwich, Pizza, Hot Chocolate, Chocolate Sundae, Icecream Cake","Desserts, Cafe, Bakery",500,Cafes
18763,"115,18th Main Road, Indiranagar, Bangalore",iSpice Resto Cafe,Yes,No,3.7/5,28,"+91 9900069111
+91 9342560148",Indiranagar,Cafe,NA,"Cafe, North Indian, Chinese, Fast Food",600,Cafes
18764,"3115, East West Building, 13th Cross, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Give Me 5 Cafe,No,No,3.4/5,90,"+91 9845278079
+91 8105662406",Indiranagar,Cafe,"Pasta, Sandwiches, Ginger Tea, Salad, Sandwich","Cafe, Continental",500,Cafes
18766,"1st Floor, 772, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",J's Cafe,No,No,3.9/5,155,+91 8904090009,Indiranagar,Cafe,"Coffee, Pizza, Pasta, Broccoli Soup, Tea, Hot Chocolate, Stuffed Mushroom","Cafe, Continental",700,NA
18768,"788, HAL 2nd Stage, 12th Main, Off 100 Feet Road, Indiranagar, Bangalore",Costa Coffee,No,No,3.8/5,209,"080 42274276
+91 7899364709",Indiranagar,Cafe,"Cappuccino, Sausage Roll, Chicken Sandwich, Chocolate Muffin, Hot Chocolate, Hot Coffee, Americano","Cafe, Fast Food",500,Cafes
18769,"754, 1st Floor, Krishna Temple Road, Indiranagar, Bangalore",Crisp Cafe,No,No,4.0/5,97,080 43750235,Indiranagar,"Cafe, Casual Dining","Pancakes, Salsa, Steak, Fries, Burgers, Sandwich, Salted Caramel","Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza","1,100",Cafes
18770,"Hello Cravings! by Cafe Coffee Day 100 Feet Road MSK Plaza, 3rd Main Rd, Binnamangala, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038",Cafe Coffee Day,Yes,No,3.7/5,72,+91 9071381494,Indiranagar,Cafe,"Coffee, Brownie","Cafe, Fast Food",900,Cafes
18771,"Shop.3, AMMA BUILDING, BEHIND NERALUR BUS STOP",Chai Cafe,No,No,3.9/5,49,+91 9620644111,Indiranagar,Cafe,"Kadak Chai, Cutting Chai, Ginger Tea, Vada Pav, Samosa Bun",Cafe,200,Cafes
18772,"1189/D, 13th Main, HAL 2nd Stage, Indiranagar, Bangalore",Cup Shup,Yes,No,2.8/5,185,"+91 9880439446
+91 9986153974",Indiranagar,Cafe,"Sandwiches, Coffee, Burgers, Chicken Wrap, Rolls, Ginger Tea, Chicken Sandwich","Cafe, Continental, Fast Food",500,Cafes
18773,"664, 1st Stage, 100 Feet Road, Above Wlils Lifestyle Building, Indiranagar, Bangalore",Sunny Side Bistro,No,No,3.7/5,69,+91 9916842131,Indiranagar,Cafe,Hot Chocolate,"Cafe, Continental",700,Cafes
18774,"1210, Park Avenue Building, 100 Feet Road, Indiranagar, Bangalore",Raenss Cafe,Yes,No,2.4/5,127,"080 41133234
080 49594650",Indiranagar,Cafe,"Burgers, Hot Dog, Coffee, Hot Chocolate, Sandwich, Double Choco Mocha, Fish N Chips","Cafe, Fast Food, Chinese",600,NA
18777,"294, 6th Cross, HAL 2nd Stage, Near E-Zone, Off 100 Feet Road, Indiranagar, Bangalore",Breadworks,Yes,No,2.9/5,48,080 41464570,Indiranagar,"Bakery, Cafe","Sandwich, Coffee, Sandwiches, Brownie, Pizza","Bakery, Cafe",500,Cafes
18778,"Number 188/1, 6th Main Road, Next to Church, Defence Colony, Indiranagar, Bangalore",Melting Spot,No,No,4.0/5,134,"+91 9742061338
+91 9844188265",Indiranagar,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,Cafes
18780,"806/1, 1st Floor, Rajeshwari Business Chambers, New Thippasandra MAin Road, Indiranagar, Bangalore",C-harge by Chefkraft,No,No,3.4/5,7,+91 8041137253,Indiranagar,Cafe,NA,"Cafe, Continental",600,Cafes
18781,"3, Lazer Tag Castle, 80 Feet Road, Indiranagar, Bangalore",Cross Roads Cafe,Yes,No,3.0/5,59,+91 9036547262,Indiranagar,Cafe,"Mojito, Fajitas","Cafe, Italian, Tex-Mex, Fast Food, Burger",500,Cafes
18782,"32 80ft Road, 12th Main Junction, Indiranagar, Bangalore",Fog City Cafe,Yes,No,NEW,0,+91 9902257760,Indiranagar,Cafe,NA,Fast Food,500,Cafes
18783,"280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore",Loveshack,No,Yes,3.9/5,1717,"080 40959154
+91 9900034528",Domlur,"Lounge, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Tikka, Chicken Wings","Continental, Pizza, North Indian, Goan, Burger, Cafe","1,600",Cafes
18784,"1, Jeevan Bhima Nagar Main Road, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Talk Over Table,No,No,4.0/5,282,"+91 9880100029
+91 9880100028",Jeevan Bhima Nagar,Cafe,"Coffee, Broccoli Soup, Chicken Ceaser Salad, Chicken Burger, Wedges, Pasta, Pancakes",Cafe,500,Cafes
18785,"295, Opposite Suvitas Hospital, Ring Road, Krishna Reddy Layout, Domlur, Bangalore",D'Cafe,No,No,3.8/5,16,"+91 9513343707
+91 7483072254",Domlur,Cafe,NA,"Cafe, Coffee, Continental",500,Cafes
18786,"15, Ground Floor, 10th Main Road, HAL, 2nd Stage, Jeevan Bhima Nagar, Bangalore",Chaai Resto,Yes,No,NEW,0,"+91 9900400559
+91 7483309981",Jeevan Bhima Nagar,Cafe,NA,"Cafe, Rolls, Fast Food",200,Cafes
18787,"231/1, 7th Main Road, Puttappa Colony, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru",St. Mary's Cafe,No,No,NEW,0,+91 8618233617,Thippasandra,"Takeaway, Delivery",NA,"Cafe, Chinese, South Indian",150,Cafes
18788,"L66, 6th Main Road, LIC Colony, Thippasandra, Bangalore",Cafe Oleiva,No,No,3.4/5,6,"+91 7411973907
+91 9686949704",Thippasandra,Cafe,NA,Cafe,500,Cafes
18789,"6th Floor, Maruti Infotech Center, A Block, Inner Ring Road, Domlur, Bangalore",Cafe Velvette,No,No,3.5/5,11,+91 9845286292,Domlur,"Cafe, Dessert Parlor",NA,"Cafe, American, Italian, Continental",400,Cafes
18790,"176, Amarjyoti Layout, Intermediate Ring Road, Domlur, Bangalore",Hot Spot Cafe,No,No,2.9/5,17,+91 9972309813,Domlur,Cafe,NA,"Cafe, Fast Food",150,Cafes
18792,"L 66, 7th Main Road, LIC Colony, HAL 3rd Stage, Sector 11, Jeevan Bhima Nagar, Bangalore",9th Cross Cafe,No,No,3.6/5,12,+91 9108176527,Jeevan Bhima Nagar,Cafe,NA,"Cafe, Italian, French",550,Cafes
18799,"Kodihalli, Next to Diamond District Corporate Gate, Old Airport Road, Bangalore",Brown Crust Cafe,No,No,2.9/5,18,+91 9880678135,Old Airport Road,Cafe,NA,"Cafe, Italian, Desserts",300,Cafes
18800,"10, First Floor, Kempfort Mall, Old Airport Road, Bangalore",The Chocolate Heaven,Yes,No,3.8/5,135,+91 9686977688,Old Airport Road,"Dessert Parlor, Cafe","Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle","Desserts, Cafe, Italian, Beverages",700,Cafes
18802,"8, Ground Floor, Retail Mall Block, Bagmane Tech Park, CV Raman Nagar, Bangalore",Barista,No,No,3.2/5,11,+91 8105318580,CV Raman Nagar,Cafe,NA,Cafe,300,Cafes
18805,"667, 1st Floor, Devappa Building, Opposite New Panjabi Hotel Old Airport Road, Bangalore",Zawaa Foods,Yes,No,NEW,0,080 49653255,Old Airport Road,Quick Bites,NA,"Continental, South Indian, North Indian, Arabian",400,Delivery
18808,"270, 100 Feet Road, Indiranagar, Bangalore",Sri Udupi Park,Yes,No,4.2/5,770,"+91 9945977774
080 25257774",Indiranagar,Quick Bites,"Idli Vada, Tea, Masala Dosa, Filter Coffee, Pav Bhaji, Kesari Bath, Chaat","South Indian, North Indian, Chinese, Beverages",300,Delivery
18809,"621/B, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",Delite Chaat House,Yes,No,4.0/5,450,"080 42094289
+91 7406002229",Indiranagar,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Sandwiches, Farsan, Sandwich, Vada Pav","Street Food, Gujarati",300,Delivery
18814,"370, Wind Tunnel Road, Murgesh Pallya, Old Airport Road, Bangalore",Tripura Express,Yes,No,2.9/5,156,"080 43715041
074 06949718",Old Airport Road,"Takeaway, Delivery",NA,"Pizza, Beverages",450,Delivery
18815,"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",BOX8- Desi Meals,Yes,No,4.3/5,314,080 33552698,Indiranagar,"Takeaway, Delivery","Paratha, Biryani, Dal Makhani, Rolls, Salad, Sandwiches, Chicken Curry","North Indian, Mughlai, Fast Food",500,Delivery
18816,"M-22, Ground Floor, Jeevan Bhima Nagar, Bangalore",Sree Spicy Hub,Yes,No,3.9/5,224,080 49652135,Jeevan Bhima Nagar,Casual Dining,"Chicken Biryani, Dum Biryani, Hyderabadi Style Biryani, Chicken Kebab","Andhra, Biryani, South Indian",600,Delivery
18821,"1st Floor, Above Photo Studio, 10th Main, Jeevan Bhima Nagar, Bangalore",Chandni Chowk 2 Bangalore,Yes,No,4.2/5,241,080 43722489,Jeevan Bhima Nagar,Quick Bites,"Paratha, Soya Chaap, Lassi, Tandoori Chaap, Malai Chaap, Biryani, Gulab Jamun","North Indian, Rolls",400,Delivery
18823,"144, Ramaiah Street, Between Diamond District & Anjaneya Tech Park, HAL, Old Airport Road, Bangalore",Gurukrupa Paratha House,Yes,No,3.9/5,639,"+91 9916355851
+91 9986212302",Old Airport Road,Casual Dining,"Paratha, Tikka, Rajma, Sweet Lassi, Murgh Patiala, Paneer Lababdar, Dal Makhani","North Indian, Chinese",400,Delivery
18824,"Shri Krishna Temple Road, Stage 1, Indiranagar, Bangalore",FreshMenu,Yes,No,3.8/5,1082,+91 9019245000,Indiranagar,Delivery,"Salads, Burgers, Sandwiches, Pizza, Pasta, Fish, Salad","Asian, Continental, Mediterranean, Salad, American, Biryani",450,Delivery
18825,"5, 80 Feet Road,1st Stage, H Colony, Indiranagar, Bangalore",Dal Roti Sabji,Yes,No,4.1/5,81,+91 9945531454,Indiranagar,Quick Bites,"Kadhai Paneer, Paratha",North Indian,150,Delivery
18826,"9, 10th Main, HAL 3rd Stage, Kodihalli, Jeevan Bhima Nagar, Bangalore",Red Kitchen,Yes,No,3.2/5,146,+91 7892154893,Jeevan Bhima Nagar,Quick Bites,NA,"North Indian, South Indian, Chinese",200,Delivery
18828,"68/5/4, 4th B Cross, Michael Palya, 80 Feet Road, Indiranagar, Bangalore",Fresh Aahar,Yes,No,3.9/5,37,+91 6362796507,Indiranagar,Quick Bites,NA,"Biryani, Mangalorean, Kerala",400,Delivery
18832,"L-14, H.A.L, 3rd Stage, Opposite NAL Backgate, Jeevan Bhima Nagar, Bangalore",Sagar Deluxe,Yes,No,3.4/5,148,"+91 7619246476
+91 9964837573",Jeevan Bhima Nagar,Quick Bites,"Idli Vada, Filter Coffee, Masala Dosa, Curd Rice","South Indian, North Indian, Chinese",350,Delivery
18833,"954, 12th Main Road, HAL 2nd Stage, Appareddipalya, Indiranagar, Bangalore",XO Belgian Waffle,Yes,No,4.3/5,78,+91 7019299769,Indiranagar,Dessert Parlor,"Chocolate Waffles, Hot Chocolate, Nutella Waffle","Desserts, Beverages",400,Delivery
18836,"Shop L 10, Opposite NAL Quarters Gate, Jeevan Bhima Nagar Main Road, Bangalore",Bharpur Aahar,Yes,No,3.9/5,418,+91 6360538469,Jeevan Bhima Nagar,Quick Bites,Biryani,"North Indian, Chinese",200,Delivery
18837,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Corner House Ice Cream,Yes,No,4.7/5,2139,+91 9880846251,Indiranagar,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Mousse, Brownie Fudge Sundae, Almond Fudge, Banana Split, Ice Cream Sundae, Apple Pie","Ice Cream, Desserts",400,Delivery
18838,"7/1, 80 Feet Road, Michael Palya, Indiranagar, Bangalore",New Krishna Sagar,Yes,No,3.3/5,26,+91 9741008693,Indiranagar,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Delivery
18839,"HAL Airport Road, Old Airport Road, Bangalore",Behrouz Biryani,Yes,No,4.0/5,85,"+91 7022984978
+91 7022984977",Old Airport Road,Delivery,"Biryani, Gulab Jamun, Raita",Biryani,650,Delivery
18840,"1671, 9th Main, 4th Cross, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Leon Grill,Yes,No,4.2/5,1327,"+91 7676100700
080 42043332",Jeevan Bhima Nagar,Quick Bites,"Burgers, Peri Peri Chicken, Fries, Jumbo Royale Burger, Falafel Roll, Shawarma, Chicken Jumbo Burger","Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Delivery
18842,"3038, 80 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Chowpatty,Yes,No,3.9/5,924,"+91 9916820043
080 48908122",Indiranagar,Quick Bites,"Gulab Jamun, Chaat, Paratha, Vada Pav, Masala Pav Bhaji, Buttermilk, Aloo Tikki Chat","North Indian, Fast Food, Street Food",300,Delivery
18843,"1st Floor, Salarpuria Landmark, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Rajdhani Thali Restaurant,Yes,Yes,4.0/5,1129,"080 25212517
080 25212518",Indiranagar,Casual Dining,"Lassi, Dahi Vada, Aamras, Daal Baati Churma, Malpua, Veg Thali, Kadhi",North Indian,"1,000",Delivery
18844,"40, 9th Main, Seethappa, Thippasandra, Bangalore",Motis Kitchen,Yes,No,4.1/5,551,+91 9986106775,Thippasandra,Quick Bites,"Roast Beef, Chicken Curry, Tea, Pazham Pori, Fish Fry, Beef Fry, Puttu Biryani","South Indian, Kerala, Biryani",350,Delivery
18849,"12, Ground Floor, Behind Bagmane Tech Park Back Gate, Byrasandra Main Road, CV Raman Nagar, Bangalore",Kunda Biryani,Yes,No,3.8/5,189,080 49653015,CV Raman Nagar,Casual Dining,Chicken Biryani,"Hyderabadi, Biryani, North Indian",800,Delivery
18851,"First Floor, 2021, Salapuria Palladium, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Dindigul Thalappakatti,Yes,No,4.3/5,289,"+91 8042297250
+91 8042297350",Indiranagar,Casual Dining,"Mutton Biryani, Mutton Sukha, Chicken Varuval, Chicken Boneless Biryani, Kola Urundai, Dindigul Biryani","Biryani, Chinese, North Indian, South Indian",800,NA
18853,"4/1, 80 Feet Road, Michael Palya, Indiranagar, Bangalore",Donne Biriyani Mane,Yes,No,3.8/5,140,080 49653503,Indiranagar,Quick Bites,"Donne Biryani, Chicken Biryani Combo, Pepper Chicken, Chicken Fry","Biryani, Kebab",400,Delivery
18855,"Near Total Mall, Murgeshpalya, Old Airport Road, Bangalore",New Punjabi Hotel,Yes,No,3.2/5,393,080 49653089,Old Airport Road,Quick Bites,"Rajma, Tandoori Roti, Sweet Lassi, Tandoori Chicken, Naan, Dal Makhani, Veg Thali","North Indian, Chinese",400,Delivery
18856,"10th Main, Near Telephone Exchange, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Beijing Bites,Yes,No,3.1/5,282,"080 41268088
080 41268188",Jeevan Bhima Nagar,Casual Dining,"Noodles, Chicken Noodle, Momos, Manchow Soup, Manchurian, Garlic Butter Noodle, Golden Fried Prawns","Chinese, Thai",850,Delivery
18857,"1650, 10th Main, Near BSNL Office, 80 Feet Road, Jeevan Bhima Nagar Main Road, Jeevan Bhima Nagar, Bangalore",Green Pepper,Yes,No,3.8/5,259,"080 40958587
+91 9538886657",Jeevan Bhima Nagar,Casual Dining,"Appam, Chicken Stew, Chicken Curry, Sea Food, Kerala Parotta, Fish Curry, Paratha","Seafood, South Indian, Chinese, Kerala",600,Delivery
18858,"6, Ground Floor, Krishanappa Building, Nagavarapalya, CV Raman Nagar, Bangalore",Tiffun,Yes,No,3.9/5,83,+91 9148315248,CV Raman Nagar,Quick Bites,Dal Tadka,North Indian,300,Delivery
18860,"513, First Floor, 10th Main Road, Jeevan Bhima Nagar, Bangalore",Chakh Le Foods,Yes,Yes,3.4/5,257,"080 41255090
+91 9035043643",Jeevan Bhima Nagar,Casual Dining,"Fish, Aloo Posto","North Indian, Mughlai, Bengali, Chinese",500,Delivery
18861,"25, 1st Floor, NR Chambers, Murgeshpalya, Old Airport Road, Bangalore",Hyderabad Biryaani House,Yes,No,3.9/5,1615,"+91 9686927270
+91 7204826266",Old Airport Road,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Boneless Biryani, Lime Soda, Chicken Dum Biryani","Biryani, North Indian, Chinese",550,Delivery
